,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,no legs,two legs,four legs,class
chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,bird
crow,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,bird
dove,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,bird
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,bird
gull,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,bird
hawk,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,bird
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,bird
lark,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,bird
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,bird
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,bird
penguin,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,bird
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,bird
rhea,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,bird
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,bird
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,bird
swan,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,bird
vulture,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,bird
wren,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,bird
bass,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,fish
carp,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,fish
chub,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,fish
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,fish
haddock,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,fish
herring,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,fish
pike,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,fish
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,fish
sole,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,fish
stingray,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,fish
tuna,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,fish
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,mammal
bear,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,mammal
boar,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,mammal
calf,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,mammal
cavy,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,mammal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
deer,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,mammal
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,mammal
elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,mammal
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,mammal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,mammal
goat,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,mammal
hamster,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,mammal
hare,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,mammal
leopard,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
lynx,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
mink,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,mammal
mole,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,mammal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
opossum,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,mammal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,mammal
platypus,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,mammal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
pony,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,mammal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,mammal
puma,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,mammal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,mammal
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,mammal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,mammal
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,mammal
vampire,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,mammal
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,mammal
wolf,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,mammal
