,mean,std,nonmissing
sparrow,4.75103734439834,0.7333207593540392,241
crow,4.695833333333334,0.7167915301041221,240
dove,4.572614107883817,0.8683779253874061,241
gull,4.3375,0.9759932179612102,240
parakeet,4.2946058091286305,0.9266494023089031,241
duck,4.233333333333333,0.9787134697080673,240
lark,4.232758620689655,1.1037736029603298,232
hawk,4.0578512396694215,1.1142049295715044,242
swan,4.053719008264463,0.96473429122543,242
chicken,3.95850622406639,1.0440008425935758,241
pheasant,3.7468879668049793,1.0197225234818856,241
vulture,3.7344398340248963,1.1849826816202742,241
wren,3.392638036809816,1.4505664403272005,163
flamingo,3.3925619834710745,1.1517740448972424,242
ostrich,3.103734439834025,1.2456702329203955,241
penguin,2.6929460580912865,1.2801009209868883,241
kiwi,2.554112554112554,1.3172329249532286,231
rhea,2.39375,1.2643982087098504,160
skimmer,2.2962962962962963,1.3343713508773443,108
skua,1.9703703703703703,1.376458470678863,135
